xa,ぁ
la,ぁ
a,あ
xi,ぃ
li,ぃ
xyi,ぃ
lyi,ぃ
ye,いぇ
i,い
yi,い
xu,ぅ
lu,ぅ
wha,うぁ
wi,うぃ
we,うぇ
who,うぉ
u,う
wu,う
whu,う
xe,ぇ
le,ぇ
xye,ぇ
lye,ぇ
e,え
o,お
xo,ぉ
lo,ぉ
ka,か
ca,か
kya,きゃ
kyu,きゅ
kyo,きょ
kyi,きぃ
kye,きぇ
ki,き
qa,くぁ
qwa,くぁ
kwa,くぁ
qi,くぃ
qwi,くぃ
qyi,くぃ
qwu,くぅ
qe,くぇ
qwe,くぇ
qye,くぇ
qo,くぉ
qwo,くぉ
qya,くゃ
qyu,くゅ
qyo,くょ
ku,く
cu,く
qu,く
ke,け
ko,こ
co,こ
sa,さ
sya,しゃ
sha,しゃ
syu,しゅ
shu,しゅ
syo,しょ
sho,しょ
syi,しぃ
sye,しぇ
she,しぇ
si,し
shi,し
ci,し
swa,すぁ
swi,すぃ
swu,すぅ
swe,すぇ
swo,すぉ
su,す
se,せ
ce,せ
so,そ
ta,た
tya,ちゃ
cha,ちゃ
cya,ちゃ
tyu,ちゅ
chu,ちゅ
cyu,ちゅ
tyo,ちょ
cho,ちょ
cyo,ちょ
cyi,ちぃ
tyi,ちぃ
cye,ちぇ
tye,ちぇ
che,ちぇ
ti,ち
chi,ち
xxa,っぁ
lla,っぁ
xxi,っぃ
lli,っぃ
xxyi,っぃ
llyi,っぃ
yye,っいぇ
yyi,っい
xxu,っぅ
llu,っぅ
wwha,っうぁ
wwi,っうぃ
wwe,っうぇ
wwho,っうぉ
wwu,っう
wwhu,っう
xxe,っぇ
lle,っぇ
xxye,っぇ
llye,っぇ
xxo,っぉ
llo,っぉ
kka,っか
cca,っか
kkya,っきゃ
kkyu,っきゅ
kkyo,っきょ
kkyi,っきぃ
kkye,っきぇ
kki,っき
qqa,っくぁ
qqwa,っくぁ
kkwa,っくぁ
qqi,っくぃ
qqwi,っくぃ
qqyi,っくぃ
qqwu,っくぅ
qqe,っくぇ
qqwe,っくぇ
qqye,っくぇ
qqo,っくぉ
qqwo,っくぉ
qqya,っくゃ
qqyu,っくゅ
qqyo,っくょ
kku,っく
ccu,っく
qqu,っく
kke,っけ
kko,っこ
cco,っこ
ssa,っさ
ssya,っしゃ
ssha,っしゃ
ssyu,っしゅ
sshu,っしゅ
ssyo,っしょ
ssho,っしょ
ssyi,っしぃ
ssye,っしぇ
sshe,っしぇ
ssi,っし
sshi,っし
cci,っし
sswa,っすぁ
sswi,っすぃ
sswu,っすぅ
sswe,っすぇ
sswo,っすぉ
ssu,っす
sse,っせ
cce,っせ
sso,っそ
tta,った
ttya,っちゃ
ccha,っちゃ
ccya,っちゃ
ttyu,っちゅ
cchu,っちゅ
ccyu,っちゅ
ttyo,っちょ
ccho,っちょ
ccyo,っちょ
ccyi,っちぃ
ttyi,っちぃ
ccye,っちぇ
ttye,っちぇ
cche,っちぇ
tti,っち
cchi,っち
ttsa,っつぁ
ttsi,っつぃ
ttse,っつぇ
ttso,っつぉ
ttu,っつ
ttsu,っつ
xxtu,っっ
lltu,っっ
ttha,ってゃ
tthi,ってぃ
tthu,ってゅ
tthe,ってぇ
ttho,ってょ
tte,って
ttwa,っとぁ
ttwi,っとぃ
ttwu,っとぅ
ttwe,っとぇ
ttwo,っとぉ
tto,っと
hha,っは
hhya,っひゃ
hhyu,っひゅ
hhyo,っひょ
hhyi,っひぃ
hhye,っひぇ
hhi,っひ
ffa,っふぁ
ffwa,っふぁ
hhwa,っふぁ
ffi,っふぃ
ffwi,っふぃ
ffwu,っふぅ
ffe,っふぇ
ffwe,っふぇ
ffo,っふぉ
ffwo,っふぉ
ffya,っふゃ
ffyu,っふゅ
ffyo,っふょ
hhu,っふ
ffu,っふ
hhe,っへ
hho,っほ
mma,っま
mmya,っみゃ
mmyu,っみゅ
mmyo,っみょ
mmyi,っみぃ
mmye,っみぇ
mmi,っみ
mmu,っむ
mme,っめ
mmo,っも
xxya,っゃ
llya,っゃ
yya,っや
xxyu,っゅ
llyu,っゅ
yyu,っゆ
xxyo,っょ
llyo,っょ
yyo,っよ
rra,っら
rrya,っりゃ
rryu,っりゅ
rryo,っりょ
rryi,っりぃ
rrye,っりぇ
rri,っり
rru,っる
rre,っれ
rro,っろ
wwa,っわ
wwo,っを
xxn,っん
gga,っが
ggya,っぎゃ
ggyu,っぎゅ
ggyo,っぎょ
ggyi,っぎぃ
ggye,っぎぇ
ggi,っぎ
ggwa,っぐぁ
ggwi,っぐぃ
ggwu,っぐぅ
ggwe,っぐぇ
ggwo,っぐぉ
ggu,っぐ
gge,っげ
ggo,っご
zza,っざ
zzya,っじゃ
jja,っじゃ
jjya,っじゃ
zzyu,っじゅ
jju,っじゅ
jjyu,っじゅ
zzyo,っじょ
jjo,っじょ
jjyo,っじょ
zzyi,っじぃ
jjyi,っじぃ
jje,っじぇ
zzye,っじぇ
jjye,っじぇ
zzi,っじ
jji,っじ
zzu,っず
zze,っぜ
zzo,っぞ
dda,っだ
ddya,っぢゃ
ddyu,っぢゅ
ddyo,っぢょ
ddyi,っぢぃ
ddye,っぢぇ
ddi,っぢ
ddu,っづ
ddha,っでゃ
ddhi,っでぃ
ddhu,っでゅ
ddhe,っでぇ
ddho,っでょ
dde,っで
ddwa,っどぁ
ddwi,っどぃ
ddwu,っどぅ
ddwe,っどぇ
ddwo,っどぉ
ddo,っど
bba,っば
bbya,っびゃ
bbyu,っびゅ
bbyo,っびょ
bbyi,っびぃ
bbye,っびぇ
bbi,っび
bbu,っぶ
bbe,っべ
bbo,っぼ
ppa,っぱ
ppya,っぴゃ
ppyu,っぴゅ
ppyo,っぴょ
ppyi,っぴぃ
ppye,っぴぇ
ppi,っぴ
ppu,っぷ
ppe,っぺ
ppo,っぽ
vva,っゔぁ
vvi,っゔぃ
vvyi,っゔぃ
vve,っゔぇ
vvye,っゔぇ
vvo,っゔぉ
vvya,っゔゃ
vvyu,っゔゅ
vvyo,っゔょ
vvu,っゔ
xtu,っ
ltu,っ
xtsu,っ
ltsu,っ
tsa,つぁ
tsi,つぃ
tse,つぇ
tso,つぉ
tu,つ
tsu,つ
tha,てゃ
thi,てぃ
thu,てゅ
the,てぇ
tho,てょ
te,て
twa,とぁ
twi,とぃ
twu,とぅ
twe,とぇ
two,とぉ
to,と
na,な
nya,にゃ
nyu,にゅ
nyo,にょ
nyi,にぃ
nye,にぇ
ni,に
nu,ぬ
ne,ね
no,の
ha,は
hya,ひゃ
hyu,ひゅ
hyo,ひょ
hyi,ひぃ
hye,ひぇ
hi,ひ
fa,ふぁ
fwa,ふぁ
hwa,ふぁ
fi,ふぃ
fwi,ふぃ
fwu,ふぅ
fe,ふぇ
fwe,ふぇ
fo,ふぉ
fwo,ふぉ
fya,ふゃ
fyu,ふゅ
fyo,ふょ
hu,ふ
fu,ふ
he,へ
ho,ほ
ma,ま
mya,みゃ
myu,みゅ
myo,みょ
myi,みぃ
mye,みぇ
mi,み
mu,む
me,め
mo,も
xya,ゃ
lya,ゃ
ya,や
xyu,ゅ
lyu,ゅ
yu,ゆ
xyo,ょ
lyo,ょ
yo,よ
ra,ら
rya,りゃ
ryu,りゅ
ryo,りょ
ryi,りぃ
rye,りぇ
ri,り
ru,る
re,れ
ro,ろ
wa,わ
wo,を
nn,ん
xn,ん
ga,が
gya,ぎゃ
gyu,ぎゅ
gyo,ぎょ
gyi,ぎぃ
gye,ぎぇ
gi,ぎ
gwa,ぐぁ
gwi,ぐぃ
gwu,ぐぅ
gwe,ぐぇ
gwo,ぐぉ
gu,ぐ
ge,げ
go,ご
za,ざ
zya,じゃ
ja,じゃ
jya,じゃ
zyu,じゅ
ju,じゅ
jyu,じゅ
zyo,じょ
jo,じょ
jyo,じょ
zyi,じぃ
jyi,じぃ
je,じぇ
zye,じぇ
jye,じぇ
zi,じ
ji,じ
zu,ず
ze,ぜ
zo,ぞ
da,だ
dya,ぢゃ
dyu,ぢゅ
dyo,ぢょ
dyi,ぢぃ
dye,ぢぇ
di,ぢ
du,づ
dha,でゃ
dhi,でぃ
dhu,でゅ
dhe,でぇ
dho,でょ
de,で
dwa,どぁ
dwi,どぃ
dwu,どぅ
dwe,どぇ
dwo,どぉ
do,ど
ba,ば
bya,びゃ
byu,びゅ
byo,びょ
byi,びぃ
bye,びぇ
bi,び
bu,ぶ
be,べ
bo,ぼ
pa,ぱ
pya,ぴゃ
pyu,ぴゅ
pyo,ぴょ
pyi,ぴぃ
pye,ぴぇ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
va,ゔぁ
vi,ゔぃ
vyi,ゔぃ
ve,ゔぇ
vye,ゔぇ
vo,ゔぉ
vya,ゔゃ
vyu,ゔゅ
vyo,ゔょ
vu,ゔ